run,tasks_found,tasks_missing,types_found,mean_task_score,mean_type_score,retrieval,retrieval_ood,errors,result_dir
G1-R2-RL-GradedNDCG64-SF-Norm-Seed3407-s3407,1,0,1,19.1,19.1,19.1,19.1,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-SF-Norm-Seed3407-s3407/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-SF-Norm-Seed3407-s3407__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-BinaryNDCG64-SF-Seed2026-s2026,1,0,1,19.07,19.07,19.07,19.07,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-BinaryNDCG64-SF-Seed2026-s2026/mteb_eval/bright/iclr2027-r2__G1-R2-RL-BinaryNDCG64-SF-Seed2026-s2026__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-SF-GaussianMismatch755-Seed3407-s3407,1,0,1,19.01,19.01,19.01,19.01,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-SF-GaussianMismatch755-Seed3407-s3407/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-SF-GaussianMismatch755-Seed3407-s3407__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-SF-Align053-Seed3407-s3407,1,0,1,18.97,18.97,18.97,18.97,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-SF-Align053-Seed3407-s3407/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-SF-Align053-Seed3407-s3407__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-SF-NoRescale-Seed3407-s3407,1,0,1,18.96,18.96,18.96,18.96,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-SF-NoRescale-Seed3407-s3407/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-SF-NoRescale-Seed3407-s3407__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-CP-Align040-s42,1,0,1,18.93,18.93,18.93,18.93,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-CP-Align040-s42/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-CP-Align040-s42__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-BinaryNDCG64-SF-Seed3407-s3407,1,0,1,18.88,18.88,18.88,18.88,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-BinaryNDCG64-SF-Seed3407-s3407/mteb_eval/bright/iclr2027-r2__G1-R2-RL-BinaryNDCG64-SF-Seed3407-s3407__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-SF-Align065-Seed2026-s2026,1,0,1,18.87,18.87,18.87,18.87,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-SF-Align065-Seed2026-s2026/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-SF-Align065-Seed2026-s2026__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-SF-Seed3407-s3407,1,0,1,18.85,18.85,18.85,18.85,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-SF-Seed3407-s3407/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-SF-Seed3407-s3407__tokens-v2__pool-fp32/no_revision_available
G1-R2-RL-GradedNDCG64-CP-Align040-Seed2026-s2026,1,0,1,18.81,18.81,18.81,18.81,0,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-r2/G1-R2-RL-GradedNDCG64-CP-Align040-Seed2026-s2026/mteb_eval/bright/iclr2027-r2__G1-R2-RL-GradedNDCG64-CP-Align040-Seed2026-s2026__tokens-v2__pool-fp32/no_revision_available
