subset,model,scope,alignment,queries,eligible_flip_queries,ndcg,mrr,hit,ndcg_drop,correct_pair_flip_rate
robotics,RELER,candidates,0.9,101,15,0.18282885936229645,0.24088228577322016,0.4316212871287129,-0.001268661655944767,0.04583333333333333
robotics,RELER,candidates,0.8,101,15,0.18237255552180973,0.2401322219275499,0.42961014851485146,-0.0008123578154580507,0.06875
robotics,RELER,candidates,0.7,101,15,0.1808870079524853,0.23764199522630836,0.43316831683168316,0.0006731897538663604,0.10729166666666666
robotics,Listwise,candidates,1.0,101,17,0.1798848630745176,0.22605689140342605,0.39603960396039606,0.0,0.0
robotics,Listwise,candidates,0.99,101,17,0.18031708520978873,0.22876093971004244,0.3948019801980198,-0.0004322221352710916,0.02297794117647059
robotics,Listwise,candidates,0.95,101,17,0.18063287523986227,0.23114852221829324,0.38923267326732675,-0.0007480121653446489,0.04871323529411765
robotics,Listwise,candidates,0.9,101,17,0.17965214860979226,0.23002974962674838,0.38985148514851486,0.00023271446472536428,0.07628676470588236
robotics,Listwise,candidates,0.8,101,17,0.17718082412735486,0.22702943285399968,0.3910891089108911,0.0027040389471626987,0.11948529411764706
robotics,Listwise,candidates,0.7,101,17,0.17475952179986,0.22690481101681595,0.39139851485148514,0.005125341274657561,0.1488970588235294
theoremqa_theorems,E0,candidates,1.0,76,14,0.3209488439817034,0.3149801587301587,0.5789473684210527,0.0,0.0
theoremqa_theorems,E0,candidates,0.99,76,14,0.3171525278899621,0.31312526106934,0.5750411184210527,0.0037963160917412774,0.005580357142857143
theoremqa_theorems,E0,candidates,0.95,76,14,0.31075753027638386,0.30948065149853804,0.56640625,0.010191313705319551,0.03794642857142857
theoremqa_theorems,E0,candidates,0.9,76,14,0.30311600852916554,0.3024411614974937,0.5581825657894737,0.017832835452537842,0.06919642857142858
theoremqa_theorems,E0,candidates,0.8,76,14,0.2924430548096694,0.2968311893013784,0.5390625,0.02850578917203399,0.09486607142857142
theoremqa_theorems,E0,candidates,0.7,76,14,0.274507857074002,0.27832333111424395,0.5197368421052632,0.046440986907701494,0.15066964285714285
theoremqa_theorems,InfoNCE,candidates,1.0,76,17,0.32589803591169686,0.3225668337510443,0.5526315789473685,0.0,0.0
theoremqa_theorems,InfoNCE,candidates,0.99,76,17,0.32644904081012194,0.32355000456871347,0.5579769736842105,-0.0005510048984250888,0.06066176470588235
theoremqa_theorems,InfoNCE,candidates,0.95,76,17,0.32445252044349543,0.3222010103383458,0.5550986842105263,0.001445515468201518,0.07996323529411764
theoremqa_theorems,InfoNCE,candidates,0.9,76,17,0.3225811830507913,0.3197201989348371,0.5474917763157895,0.0033168528609055547,0.08915441176470588
theoremqa_theorems,InfoNCE,candidates,0.8,76,17,0.31720935991105736,0.31442098083751047,0.541735197368421,0.008688676000639486,0.11948529411764706
theoremqa_theorems,InfoNCE,candidates,0.7,76,17,0.30933811226410723,0.3049576251827486,0.5347450657894737,0.016559923647589698,0.14338235294117646
theoremqa_theorems,LambdaLoss,candidates,1.0,76,15,0.29249924570361197,0.2932174185463659,0.5263157894736842,0.0,0.0
theoremqa_theorems,LambdaLoss,candidates,0.99,76,15,0.29261472610858125,0.2937894051535088,0.5172697368421053,-0.00011548040496930356,0.003125
